NCBI GeneID	Symbol	Description	Gene Type
118568079	Gm48049	predicted gene, 48049	PROTEIN_CODING
118568080	Gm53808	predicted gene, 53808	PROTEIN_CODING
118568081	Gm53809	predicted gene, 53809	ncRNA
118568082	LOC118568082	uncharacterized LOC118568082	ncRNA
118568083	Gm53810	predicted gene, 53810	ncRNA
118568084	Gm53811	predicted gene, 53811	ncRNA
118568085	Gm53812	predicted gene, 53812	ncRNA
118568086	Gm53813	predicted gene, 53813	PSEUDO
118568087	Gm53814	predicted gene, 53814	ncRNA
118568088	Gm53815	predicted gene, 53815	ncRNA
118568089	Gm53816	predicted gene, 53816	ncRNA
118568090	Gm53817	predicted gene, 53817	ncRNA
118568091	Gm53818	predicted gene, 53818	ncRNA
118568092	Gm21959	predicted gene, 21959	PSEUDO
118568093	Gm53819	predicted gene, 53819	PSEUDO
118568094	LOC118568094	translation initiation factor IF-2-like	PROTEIN_CODING
118568095	Gm53820	predicted gene, 53820	ncRNA
118568096	Gm53821	predicted gene, 53821	PSEUDO
118568097	Gm53822	predicted gene, 53822	ncRNA
118568098	Gm53823	predicted gene, 53823	ncRNA
118568099	Gm53824	predicted gene, 53824	PROTEIN_CODING
118568100	Gm53825	predicted gene, 53825	PROTEIN_CODING
118568101	Gm26655	predicted gene, 26655	ncRNA
118568102	Gm48105	predicted gene, 48105	ncRNA
118568103	Gm53826	predicted gene, 53826	ncRNA
118568104	Gm53827	predicted gene, 53827	ncRNA
118568105	LOC118568105	uncharacterized LOC118568105	ncRNA
118568106	Gm53828	predicted gene, 53828	ncRNA
118568107	Gm53829	predicted gene, 53829	ncRNA
118568108	Gm53830	predicted gene, 53830	ncRNA
118568109	Gm53831	predicted gene, 53831	ncRNA
118568110	Gm53832	predicted gene, 53832	ncRNA
118568111	Gm53833	predicted gene, 53833	ncRNA
118568112	Gm53834	predicted gene, 53834	ncRNA
118568113	Gm15935	predicted gene 15935	ncRNA
118568114	Gm53835	predicted gene, 53835	ncRNA
118568115	Gm53836	predicted gene, 53836	ncRNA
118568116	Gm53837	predicted gene, 53837	ncRNA
118568117	LOC118568117	uncharacterized LOC118568117	ncRNA
118568118	Gm53838	predicted gene, 53838	ncRNA
118568119	Gm53839	predicted gene, 53839	ncRNA
118568120	Gm53840	predicted gene, 53840	ncRNA
118568121	Gm53841	predicted gene, 53841	ncRNA
118568122	Gm48914	predicted gene, 48914	ncRNA
118568123	Gm53842	predicted gene, 53842	ncRNA
118568124	Gm53843	predicted gene, 53843	ncRNA
118568125	Gm53844	predicted gene, 53844	ncRNA
118568126	Gm53845	predicted gene, 53845	ncRNA
118568127	Gm53846	predicted gene, 53846	ncRNA
118568128	Gm53847	predicted gene, 53847	ncRNA
118568129	Gm53848	predicted gene, 53848	ncRNA
118568130	Gm53849	predicted gene, 53849	ncRNA
118568131	Gm53850	predicted gene, 53850	ncRNA
118568132	Gm49018	predicted gene, 49018	ncRNA
118568133	LOC118568133	uncharacterized LOC118568133	ncRNA
118568134	Gm53851	predicted gene, 53851	ncRNA
118568135	LOC118568135	formin-like protein 5	PROTEIN_CODING
118568136	Gm53852	predicted gene, 53852	ncRNA
118568137	Gm53853	predicted gene, 53853	ncRNA
118568138	Gm53854	predicted gene, 53854	ncRNA
118568139	Gm53855	predicted gene, 53855	PSEUDO
118568140	LOC118568140	disks large homolog 5-like	PROTEIN_CODING
118568141	LOC118568141	disks large homolog 5-like	PROTEIN_CODING
118568142	LOC118568142	disks large homolog 5-like	PROTEIN_CODING
118568143	LOC118568143	disks large homolog 5-like	PSEUDO
118568144	Gm21754	predicted gene, 21754	PROTEIN_CODING
118568145	Gm53856	predicted gene, 53856	ncRNA
118568146	LOC118568146	uncharacterized LOC118568146	ncRNA
118568147	Gm49306	predicted gene, 49306	ncRNA
118568148	LOC118568148	transcription initiation factor TFIID subunit 13-like	PROTEIN_CODING
118568149	Gm38316	predicted gene, 38316	ncRNA
118568150	LOC118568150	disks large homolog 5-like	PROTEIN_CODING
118568151	Gm53857	predicted gene, 53857	ncRNA
118568152	Gm53858	predicted gene, 53858	PROTEIN_CODING
118568153	Gm53859	predicted gene, 53859	ncRNA
118568154	Gm53860	predicted gene, 53860	ncRNA
118568155	LOC118568155	eukaryotic translation initiation factor 1-like	PSEUDO
118568156	Gm53861	predicted gene, 53861	ncRNA
118568157	Gm53862	predicted gene, 53862	ncRNA
118568158	Gm48449	predicted gene, 48449	ncRNA
118568159	Gm53863	predicted gene, 53863	ncRNA
118568160	LOC118568160	uncharacterized LOC118568160	ncRNA
118568161	Gm53864	predicted gene, 53864	ncRNA
118568162	Gm53865	predicted gene, 53865	ncRNA
118568163	Gm53866	predicted gene, 53866	ncRNA
118568164	LOC118568164	uncharacterized LOC118568164	PROTEIN_CODING
118568165	Gm53867	predicted gene, 53867	PSEUDO
118568166	Trnak-cuu	transfer RNA lysine (anticodon CUU)	tRNA
118568167	Gm53868	predicted gene, 53868	ncRNA
118568168	Gm53869	predicted gene, 53869	ncRNA
118568169	Gm53870	predicted gene, 53870	ncRNA
118568170	Gm53871	predicted gene, 53871	ncRNA
118568171	Gm53872	predicted gene, 53872	ncRNA
118568172	Gm53873	predicted gene, 53873	ncRNA
118568173	Gm53874	predicted gene, 53874	ncRNA
118568174	Gm53875	predicted gene, 53875	ncRNA
118568175	Gm53876	predicted gene, 53876	ncRNA
118568176	Gm53877	predicted gene, 53877	ncRNA
118568177	Gm53878	predicted gene, 53878	ncRNA
118568178	Gm53879	predicted gene, 53879	ncRNA
118568179	Gm26854	predicted gene, 26854	ncRNA
118568180	Gm53880	predicted gene, 53880	ncRNA
118568181	Gm48913	predicted gene, 48913	ncRNA
118568182	Gm53881	predicted gene, 53881	ncRNA
118568183	LOC118568183	wiskott-Aldrich syndrome protein homolog	PROTEIN_CODING
118568184	Gm53882	predicted gene, 53882	ncRNA
118568185	Gm41261	predicted gene, 41261	ncRNA
118568186	LOC118568186	uncharacterized LOC118568186	ncRNA
118568187	Gm53883	predicted gene, 53883	ncRNA
118568188	Gm53884	predicted gene, 53884	ncRNA
118568189	Gm53885	predicted gene, 53885	ncRNA
118568190	Gm53886	predicted gene, 53886	ncRNA
118568191	Gm53887	predicted gene, 53887	ncRNA
118568192	Gm53888	predicted gene, 53888	ncRNA
118568193	Gm53889	predicted gene, 53889	ncRNA
118568194	Gm53890	predicted gene, 53890	ncRNA
118568195	Gm49212	predicted gene, 49212	ncRNA
118568196	Gm53891	predicted gene, 53891	ncRNA
118568197	Gm53892	predicted gene, 53892	ncRNA
118568198	Gm53893	predicted gene, 53893	ncRNA
118568199	Gm53894	predicted gene, 53894	ncRNA
118568200	Gm53895	predicted gene, 53895	ncRNA
118568201	Gm20732	predicted gene 20732	ncRNA
118568202	Gm53896	predicted gene, 53896	ncRNA
118568203	Gm53897	predicted gene, 53897	ncRNA
118568204	Gm53898	predicted gene, 53898	ncRNA
118568205	Gm53899	predicted gene, 53899	ncRNA
118568206	Gm53900	predicted gene, 53900	ncRNA
118568207	Gm49436	predicted gene, 49436	ncRNA
118568208	Gm53901	predicted gene, 53901	ncRNA
118568209	Gm53902	predicted gene, 53902	ncRNA
118568210	LOC118568210	uncharacterized LOC118568210	ncRNA
118568211	Gm53903	predicted gene, 53903	ncRNA
118568212	Gm53904	predicted gene, 53904	ncRNA
118568213	Gm49537	predicted gene, 49537	PSEUDO
118568214	Gm53905	predicted gene, 53905	ncRNA
118568215	Gm53906	predicted gene, 53906	ncRNA
118568216	Gm53907	predicted gene, 53907	ncRNA
118568217	Gm53908	predicted gene, 53908	ncRNA
118568218	Gm53909	predicted gene, 53909	ncRNA
118568219	LOC118568219	60S ribosomal protein L35a-like	PROTEIN_CODING
118568220	Gm53910	predicted gene, 53910	ncRNA
118568221	Gm53911	predicted gene, 53911	ncRNA
118568222	Tmdd1	transmembrane and death domain 1	PROTEIN_CODING
118568223	Gm53912	predicted gene, 53912	ncRNA
118568224	Gm53913	predicted gene, 53913	ncRNA
118568225	Gm53914	predicted gene, 53914	ncRNA
118568226	Gm53915	predicted gene, 53915	ncRNA
118568227	LOC118568227	ubiquitin-conjugating enzyme E2 C-like	PSEUDO
118568228	Gm49229	predicted gene, 49229	PSEUDO
118568229	Gm53916	predicted gene, 53916	PROTEIN_CODING
118568230	Gm53917	predicted gene, 53917	ncRNA
118568231	Gm53918	predicted gene, 53918	ncRNA
118568232	Gm53919	predicted gene, 53919	ncRNA
118568233	Gm53920	predicted gene, 53920	ncRNA
118568234	Gm53921	predicted gene, 53921	ncRNA
118568235	Gm53922	predicted gene, 53922	ncRNA
118568236	Gm53923	predicted gene, 53923	ncRNA
118568237	Gm53924	predicted gene, 53924	ncRNA
118568238	Gm53925	predicted gene, 53925	ncRNA
118568239	Gm53926	predicted gene, 53926	ncRNA
118568240	Gm53927	predicted gene, 53927	ncRNA
118568241	Gm53928	predicted gene, 53928	PROTEIN_CODING
118568242	Gm53929	predicted gene, 53929	ncRNA
118568243	LOC118568243	uncharacterized LOC118568243	PROTEIN_CODING
118568244	Gm53930	predicted gene, 53930	ncRNA
118568245	Gm53931	predicted gene, 53931	ncRNA
118568246	Gm53932	predicted gene, 53932	ncRNA
118568247	Gm49227	predicted gene, 49227	ncRNA
118568248	LOC118568248	olfactory receptor 1361-like	PSEUDO
118568249	LOC118568249	60S ribosomal protein L35a-like	PSEUDO
118568250	LOC118568250	prothymosin alpha-like	PSEUDO
118568251	Gm53933	predicted gene, 53933	ncRNA
118568252	Gm53934	predicted gene, 53934	ncRNA
118568253	Gm53935	predicted gene, 53935	ncRNA
118568254	Gm53936	predicted gene, 53936	ncRNA
118568255	LOC118568255	high mobility group nucleosome-binding domain-containing protein 5-like	PROTEIN_CODING
118568256	Gm53937	predicted gene, 53937	ncRNA
118568257	Gm53938	predicted gene, 53938	ncRNA
118568258	Gm53939	predicted gene, 53939	ncRNA
118568259	Gm53940	predicted gene, 53940	ncRNA
118568260	Gm53941	predicted gene, 53941	ncRNA
118568261	Gm53942	predicted gene, 53942	ncRNA
118568262	Gm53943	predicted gene, 53943	ncRNA
118568263	Gm53944	predicted gene, 53944	ncRNA
118568264	Gm53945	predicted gene, 53945	ncRNA
118568265	Gm53946	predicted gene, 53946	ncRNA
118568266	Gm49754	predicted gene, 49754	ncRNA
118568267	Gm49767	predicted gene, 49767	ncRNA
118568268	Gm53947	predicted gene, 53947	ncRNA
118568269	Gm53948	predicted gene, 53948	ncRNA
118568270	Gm53949	predicted gene, 53949	ncRNA
118568271	Gm53950	predicted gene, 53950	ncRNA
118568272	Gm53951	predicted gene, 53951	ncRNA
118568273	Gm53952	predicted gene, 53952	ncRNA
118568274	Gm49663	predicted gene, 49663	PSEUDO
118568275	Gm53953	predicted gene, 53953	ncRNA
118568276	Gm53954	predicted gene, 53954	ncRNA
118568277	Gm53955	predicted gene, 53955	ncRNA
118568278	Gm53956	predicted gene, 53956	ncRNA
118568279	Gm53957	predicted gene, 53957	ncRNA
118568280	Gm53958	predicted gene, 53958	ncRNA
118568281	LOC118568281	40S ribosomal protein S24-like	PROTEIN_CODING
118568282	Gm53959	predicted gene, 53959	PSEUDO
118568283	Gm53960	predicted gene, 53960	ncRNA
118568284	Gm53961	predicted gene, 53961	PROTEIN_CODING
118568285	Gm53962	predicted gene, 53962	ncRNA
118568286	Gm49984	predicted gene, 49984	ncRNA
118568287	Gm53963	predicted gene, 53963	ncRNA
118568288	Gm53964	predicted gene, 53964	ncRNA
118568289	Gm53965	predicted gene, 53965	ncRNA
118568290	Gm53966	predicted gene, 53966	ncRNA
118568291	Gm53967	predicted gene, 53967	ncRNA
118568292	Gm53968	predicted gene, 53968	ncRNA
118568293	Gm53969	predicted gene, 53969	ncRNA
118568294	Gm53970	predicted gene, 53970	ncRNA
118568295	Gm53971	predicted gene, 53971	ncRNA
118568296	Gm53972	predicted gene, 53972	ncRNA
118568297	Gm53973	predicted gene, 53973	PROTEIN_CODING
118568298	Gm53974	predicted gene, 53974	ncRNA
118568299	Gm53975	predicted gene, 53975	PROTEIN_CODING
118568300	Gm53976	predicted gene, 53976	PROTEIN_CODING
118568301	Gm53977	predicted gene, 53977	PROTEIN_CODING
118568302	Gm53978	predicted gene, 53978	ncRNA
118568303	Gm53979	predicted gene, 53979	ncRNA
118568304	Gm53980	predicted gene, 53980	PROTEIN_CODING
118568305	Gm53981	predicted gene, 53981	ncRNA
118568306	Gm53982	predicted gene, 53982	PROTEIN_CODING
118568307	Gm53983	predicted gene, 53983	PROTEIN_CODING
118568308	Gm53984	predicted gene, 53984	PROTEIN_CODING
118568309	Gm49870	predicted gene, 49870	ncRNA
118568310	Gm53985	predicted gene, 53985	PROTEIN_CODING
118568311	Gm53986	predicted gene, 53986	PROTEIN_CODING
118568313	Gm53987	predicted gene, 53987	ncRNA
118568314	Gm53988	predicted gene, 53988	ncRNA
118568315	Gm49958	predicted gene, 49958	ncRNA
118568316	Gm53989	predicted gene, 53989	ncRNA
118568317	Gm53990	predicted gene, 53990	ncRNA
118568318	LOC118568318	uncharacterized LOC118568318	ncRNA
118568319	Gm53991	predicted gene, 53991	ncRNA
118568320	Gm53992	predicted gene, 53992	ncRNA
118568321	Gm53993	predicted gene, 53993	ncRNA
118568322	LOC118568322	elongin-C-like	PROTEIN_CODING
118568323	Gm50015	predicted gene, 50015	ncRNA
118568324	Gm53994	predicted gene, 53994	ncRNA
118568325	Gm50105	predicted gene, 50105	ncRNA
118568326	Gm53995	predicted gene, 53995	ncRNA
118568327	Gm53996	predicted gene, 53996	ncRNA
118568328	Gm53997	predicted gene, 53997	ncRNA
118568329	LOC118568329	uncharacterized LOC118568329	ncRNA
118568330	Gm53998	predicted gene, 53998	ncRNA
118568331	Gm53999	predicted gene, 53999	ncRNA
118568332	Gm54000	predicted gene, 54000	ncRNA
118568333	Gm20443	predicted gene 20443	ncRNA
118568334	Gm54001	predicted gene, 54001	PSEUDO
118568335	Gm54002	predicted gene, 54002	PROTEIN_CODING
118568336	Gm54003	predicted gene, 54003	ncRNA
118568337	Gm54004	predicted gene, 54004	PROTEIN_CODING
118568338	LOC118568338	zinc finger protein 431-like	PROTEIN_CODING
118568339	Gm54005	predicted gene, 54005	PROTEIN_CODING
118568340	Gm54006	predicted gene, 54006	PROTEIN_CODING
118568341	Gm54007	predicted gene, 54007	ncRNA
118568342	Gm54008	predicted gene, 54008	ncRNA
118568343	Gm54009	predicted gene, 54009	PROTEIN_CODING
118568344	Gm54010	predicted gene, 54010	ncRNA
118568345	Gm54011	predicted gene, 54011	PROTEIN_CODING
118568346	Gm54012	predicted gene, 54012	PSEUDO
118568347	Gm54013	predicted gene, 54013	PSEUDO
118568348	Gm54014	predicted gene, 54014	PROTEIN_CODING
118568349	Gm54015	predicted gene, 54015	ncRNA
118568350	Gm54016	predicted gene, 54016	ncRNA
118568351	Gm54017	predicted gene, 54017	ncRNA
118568352	Gm54018	predicted gene, 54018	ncRNA
118568353	LOC118568353	uncharacterized LOC118568353	ncRNA
118568354	LOC118568354	60S ribosomal protein L17-like	PROTEIN_CODING
118568355	Gm54019	predicted gene, 54019	ncRNA
118568356	Gm54020	predicted gene, 54020	ncRNA
118568357	LOC118568357	uncharacterized LOC118568357	ncRNA
118568358	Gm54021	predicted gene, 54021	ncRNA
118568359	LOC118568359	uncharacterized LOC118568359	ncRNA
118568360	LOC118568360	uncharacterized LOC118568360	ncRNA
118568361	Gm54022	predicted gene, 54022	ncRNA
118568362	Gm54023	predicted gene, 54023	ncRNA
118568363	Gm54024	predicted gene, 54024	ncRNA
118568364	Gm54025	predicted gene, 54025	ncRNA
118568365	Gm54026	predicted gene, 54026	ncRNA
118568366	Gm54027	predicted gene, 54027	ncRNA
118568367	Gm54028	predicted gene, 54028	ncRNA
118568368	LOC118568368	60S ribosomal protein L24-like	PROTEIN_CODING
118568369	Gm54029	predicted gene, 54029	ncRNA
118568370	Gm54030	predicted gene, 54030	ncRNA
118568371	Gm54031	predicted gene, 54031	ncRNA
118568372	Gm50288	predicted gene, 50288	ncRNA
118568373	Gm54032	predicted gene, 54032	ncRNA
118568374	Gm54033	predicted gene, 54033	ncRNA
118568375	Gm54034	predicted gene, 54034	ncRNA
118568376	Gm54035	predicted gene, 54035	ncRNA
118568377	LOC118568377	uncharacterized LOC118568377	ncRNA
118568378	Gm54036	predicted gene, 54036	ncRNA
118568379	Gm54037	predicted gene, 54037	ncRNA
118568380	Gm47898	predicted gene, 47898	ncRNA
118568381	Gm54038	predicted gene, 54038	ncRNA
118568382	Gm54039	predicted gene, 54039	ncRNA
118568383	LOC118568383	uncharacterized LOC118568383	ncRNA
118568384	Gm50351	predicted gene, 50351	ncRNA
118568385	Gm54040	predicted gene, 54040	ncRNA
118568386	LOC118568386	uncharacterized LOC118568386	ncRNA
118568387	Gm54041	predicted gene, 54041	ncRNA
118568388	Gm50401	predicted gene, 50401	ncRNA
118568389	LOC118568389	uncharacterized LOC118568389	ncRNA
118568390	Gm54042	predicted gene, 54042	ncRNA
118568391	Gm54043	predicted gene, 54043	ncRNA
118568392	Gm50137	predicted gene, 50137	ncRNA
118568393	Gm54044	predicted gene, 54044	ncRNA
118568394	Gm54045	predicted gene, 54045	ncRNA
118568395	Gm54046	predicted gene, 54046	ncRNA
118568396	Gm54047	predicted gene, 54047	ncRNA
118568397	LOC118568397	uncharacterized LOC118568397	ncRNA
118568398	Gm54048	predicted gene, 54048	ncRNA
118568399	Gm54049	predicted gene, 54049	ncRNA
118568400	Gm54050	predicted gene, 54050	ncRNA
118568401	Gm54051	predicted gene, 54051	ncRNA
118568402	Gm54052	predicted gene, 54052	ncRNA
118568403	Gm54053	predicted gene, 54053	ncRNA
118568404	LOC118568404	uncharacterized LOC118568404	ncRNA
118568405	LOC118568405	uncharacterized LOC118568405	ncRNA
118568406	Gm54054	predicted gene, 54054	ncRNA
118568407	C19H9orf57	chromosome 19 C9orf57 homolog	PROTEIN_CODING
118568408	Gm54055	predicted gene, 54055	ncRNA
118568409	Gm54056	predicted gene, 54056	ncRNA
118568410	Gm50440	predicted gene, 50440	PSEUDO
118568411	LOC118568411	60S ribosomal protein L26-like	PSEUDO
118568412	LOC118568412	ubiquitin-conjugating enzyme E2 C-like	PSEUDO
118568413	LOC118568413	histidine-rich glycoprotein-like	PSEUDO
118568414	LOC118568414	60S ribosomal protein L9-like	PSEUDO
118568415	Gm54057	predicted gene, 54057	ncRNA
118568416	Gm54058	predicted gene, 54058	PROTEIN_CODING
118568417	Gm54059	predicted gene, 54059	ncRNA
118568418	Gm54060	predicted gene, 54060	ncRNA
118568419	Gm54061	predicted gene, 54061	ncRNA
118568420	Gm54062	predicted gene, 54062	ncRNA
118568421	Gm54063	predicted gene, 54063	ncRNA
118568422	Gm54064	predicted gene, 54064	PROTEIN_CODING
118568423	Gm54065	predicted gene, 54065	ncRNA
118568424	Akap17a	A-kinase anchoring protein 17A	PROTEIN_CODING
118568425	Gm54066	predicted gene, 54066	PROTEIN_CODING
118568426	Gm54067	predicted gene, 54067	ncRNA
118568427	Gm54068	predicted gene, 54068	ncRNA
118568428	Gm54069	predicted gene, 54069	ncRNA
118568429	Gm54070	predicted gene, 54070	ncRNA
118568430	Gm54071	predicted gene, 54071	ncRNA
118568431	Gm54072	predicted gene, 54072	ncRNA
118568432	Gm54073	predicted gene, 54073	PROTEIN_CODING
118568433	Gm54074	predicted gene, 54074	ncRNA
118568434	Gm54075	predicted gene, 54075	PSEUDO
118568435	Gm54076	predicted gene, 54076	ncRNA
118568436	Gm54077	predicted gene, 54077	PSEUDO
118568437	Gm54078	predicted gene, 54078	ncRNA
118568438	Gm54079	predicted gene, 54079	ncRNA
118568439	Gm54080	predicted gene, 54080	ncRNA
118568440	Gm54081	predicted gene, 54081	ncRNA
118568441	Gm54082	predicted gene, 54082	ncRNA
118568442	Gm54083	predicted gene, 54083	ncRNA
118568443	Gm54084	predicted gene, 54084	ncRNA
118568444	Gm54085	predicted gene, 54085	ncRNA
118568445	Gm54086	predicted gene, 54086	ncRNA
118568446	Gm45022	predicted gene 45022	ncRNA
118568447	Gm54087	predicted gene, 54087	ncRNA
118568448	Gm54088	predicted gene, 54088	PROTEIN_CODING
118568449	LOC118568449	vigilin-like	PROTEIN_CODING
118568450	LOC118568450	uncharacterized LOC118568450	ncRNA
118568451	LOC118568451	60S ribosomal protein L37-like	PSEUDO
118568452	Rpa4	replication protein A4	PROTEIN_CODING
118568453	Gm54089	predicted gene, 54089	PSEUDO
118568454	Gm54090	predicted gene, 54090	PSEUDO
118568455	Trnak-cuu	transfer RNA lysine (anticodon CUU)	tRNA
118568456	LOC118568456	Y-linked testis-specific protein 1-like	PROTEIN_CODING
118568457	Gm20849	predicted gene, 20849	PROTEIN_CODING
118568458	Gm29144	predicted gene 29144	PSEUDO
118568459	Gm54091	predicted gene, 54091	PROTEIN_CODING
118568460	LOC118568460	Y-linked testis-specific protein 1-like	PROTEIN_CODING
118568461	LOC118568461	Y-linked testis-specific protein 1-like	PROTEIN_CODING
118568462	LOC118568462	Y-linked testis-specific protein 1-like	PROTEIN_CODING
118568463	LOC118568463	Y-linked testis-specific protein 1-like	PROTEIN_CODING
118568464	Gm54092	predicted gene, 54092	PROTEIN_CODING
118568465	LOC118568465	Y-linked testis-specific protein 1-like	PROTEIN_CODING
118568466	LOC118568466	Y-linked testis-specific protein 1-like	PROTEIN_CODING
118568467	LOC118568467	Y-linked testis-specific protein 1-like	PROTEIN_CODING
118568468	LOC118568468	nuclear body protein SP140-like protein	PROTEIN_CODING
118568469	LOC118568469	NHP2-like protein 1	PROTEIN_CODING
118568470	LOC118568470	uncharacterized LOC118568470	ncRNA
118568471	LOC118568471	uncharacterized LOC118568471	ncRNA
118568472	LOC118568472	uncharacterized LOC118568472	ncRNA
118568473	LOC118568473	sp110 nuclear body protein-like	PROTEIN_CODING
118568474	LOC118568474	uncharacterized LOC118568474	ncRNA
118568475	LOC118568475	nuclear body protein SP140-like	PROTEIN_CODING
118568476	LOC118568476	uncharacterized LOC118568476	ncRNA
118568477	LOC118568477	PRAME family member 8-like	PSEUDO
118568478	LOC118568478	uncharacterized LOC118568478	ncRNA
118568479	LOC118568479	uncharacterized LOC118568479	ncRNA
118568480	LOC118568480	60S ribosomal protein L27a-like	PSEUDO
118568481	LOC118568481	zinc finger protein 844-like	PSEUDO
118568482	Gm27032	predicted gene, 27032	PROTEIN_CODING
118568483	LOC118568483	uncharacterized LOC118568483	ncRNA
118568484	Pmepa1os	prostate transmembrane protein, androgen induced 1, opposite strand	ncRNA
118568485	Gm54093	predicted gene, 54093	ncRNA
118568487	LOC118568487	zinc finger protein 271-like	PROTEIN_CODING
118568488	Gm14402	predicted gene 14402	ncRNA
118568489	LOC118568489	uncharacterized LOC118568489	ncRNA
118568490	Gm54094	predicted gene, 54094	ncRNA
118568491	Gm54095	predicted gene, 54095	ncRNA
118568492	Gm54096	predicted gene, 54096	ncRNA
118568493	Gm54097	predicted gene, 54097	ncRNA
118568494	Gm54098	predicted gene, 54098	ncRNA
118568495	Gm54099	predicted gene, 54099	ncRNA
118568496	Gm54100	predicted gene, 54100	ncRNA
118568497	Gm54101	predicted gene, 54101	ncRNA
118568498	Gm38171	predicted gene, 38171	ncRNA
118568499	Gm54102	predicted gene, 54102	ncRNA
118568500	Gm54103	predicted gene, 54103	ncRNA
118568501	Gm54104	predicted gene, 54104	PSEUDO
118568502	Gm54105	predicted gene, 54105	ncRNA
118568503	Gm54106	predicted gene, 54106	PSEUDO
118568504	Gm54107	predicted gene, 54107	ncRNA
118568505	Gm54108	predicted gene, 54108	ncRNA
118568506	Gm54109	predicted gene, 54109	ncRNA
118568507	Gm54110	predicted gene, 54110	ncRNA
118568508	LOC118568508	uncharacterized LOC118568508	ncRNA
118568509	LOC118568509	uncharacterized LOC118568509	ncRNA
118568510	Gm54111	predicted gene, 54111	ncRNA
118568511	Gm13449	predicted gene 13449	ncRNA
118568512	Gm54112	predicted gene, 54112	ncRNA
118568513	Gm54113	predicted gene, 54113	ncRNA
118568514	LOC118568514	uncharacterized LOC118568514	ncRNA
118568515	Gm54114	predicted gene, 54114	ncRNA
118568516	Gm54115	predicted gene, 54115	ncRNA
118568517	Gm54116	predicted gene, 54116	ncRNA
118568518	Gm54117	predicted gene, 54117	ncRNA
118568519	Gm54118	predicted gene, 54118	PSEUDO
118568520	Gm54119	predicted gene, 54119	ncRNA
118568521	Gm54120	predicted gene, 54120	ncRNA
118568522	Gm54121	predicted gene, 54121	ncRNA
118568523	Gm54122	predicted gene, 54122	ncRNA
118568524	Gm54123	predicted gene, 54123	ncRNA
118568525	Gm54124	predicted gene, 54124	ncRNA
118568526	LOC118568526	uncharacterized LOC118568526	ncRNA
118568527	LOC118568527	zinc finger protein 54-like	PSEUDO
118568528	LOC118568528	uncharacterized LOC118568528	ncRNA
118568529	Gm54125	predicted gene, 54125	ncRNA
118568530	Gm54126	predicted gene, 54126	ncRNA
118568531	Gm54127	predicted gene, 54127	ncRNA
118568532	Gm54128	predicted gene, 54128	ncRNA
118568533	LOC118568533	uncharacterized LOC118568533	ncRNA
118568534	Gm54129	predicted gene, 54129	ncRNA
118568535	Gm54130	predicted gene, 54130	ncRNA
118568536	Gm54131	predicted gene, 54131	ncRNA
118568537	Gm54132	predicted gene, 54132	ncRNA
118568538	Gm54133	predicted gene, 54133	ncRNA
118568539	Gm54134	predicted gene, 54134	ncRNA
118568540	Gm54135	predicted gene, 54135	ncRNA
118568541	Gm54136	predicted gene, 54136	ncRNA
118568542	Gm54137	predicted gene, 54137	PSEUDO
118568543	Gm54138	predicted gene, 54138	ncRNA
118568544	Gm13883	predicted gene 13883	ncRNA
118568545	Gm54139	predicted gene, 54139	ncRNA
118568546	Gm54140	predicted gene, 54140	ncRNA
118568547	Gm54141	predicted gene, 54141	ncRNA
118568548	Gm54142	predicted gene, 54142	ncRNA
118568549	Gm54143	predicted gene, 54143	ncRNA
118568550	Gm54144	predicted gene, 54144	ncRNA
118568551	Gm54145	predicted gene, 54145	ncRNA
118568552	Gm54146	predicted gene, 54146	ncRNA
118568553	Gm54147	predicted gene, 54147	ncRNA
118568554	Gm54148	predicted gene, 54148	ncRNA
118568555	Gm54149	predicted gene, 54149	ncRNA
118568556	Gm54150	predicted gene, 54150	ncRNA
118568557	Gm54151	predicted gene, 54151	ncRNA
118568558	Gm54152	predicted gene, 54152	ncRNA
118568559	Gm54153	predicted gene, 54153	ncRNA
118568560	Gm14280	predicted gene 14280	ncRNA
118568561	Gm54154	predicted gene, 54154	ncRNA
118568562	Gm54155	predicted gene, 54155	ncRNA
118568563	Gm54156	predicted gene, 54156	ncRNA
118568564	Gm13569	predicted gene 13569	ncRNA
118568565	Gm54157	predicted gene, 54157	ncRNA
118568566	Gm54158	predicted gene, 54158	ncRNA
118568567	LOC118568567	60S ribosomal protein L13-like	PROTEIN_CODING
118568568	Gm54159	predicted gene, 54159	ncRNA
118568569	Gm54160	predicted gene, 54160	ncRNA
118568570	Gm54161	predicted gene, 54161	ncRNA
118568571	Gm54162	predicted gene, 54162	ncRNA
118568572	Gm54163	predicted gene, 54163	ncRNA
118568573	Gm54164	predicted gene, 54164	ncRNA
118568574	Gm54165	predicted gene, 54165	ncRNA
118568575	Gm54166	predicted gene, 54166	ncRNA
118568576	Gm54167	predicted gene, 54167	ncRNA
118568577	LOC118568577	uncharacterized LOC118568577	ncRNA
118568578	LOC118568578	60S ribosomal protein L30-like	PSEUDO
118568579	Gm54168	predicted gene, 54168	ncRNA
118568580	Gm54169	predicted gene, 54169	ncRNA
118568581	Gm54170	predicted gene, 54170	ncRNA
118568582	Gm54171	predicted gene, 54171	ncRNA
118568583	Gm54172	predicted gene, 54172	ncRNA
118568584	Gm54173	predicted gene, 54173	ncRNA
